Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
30-Jun-54, 18:00 ,Semi-finals,La Pontaise,Lausanne,Switzerland,Hungary,4,2,Uruguay,Hungary win after extra time ,Hungary,,,
3-Jul-54, 17:00 ,Match for third place,Hardturm,Zurich,Switzerland,Austria,3,1,Uruguay, ,Austria,,,
4-Jul-54, 17:00 ,Final,Wankdorf Stadium,Bern,Switzerland,Germany FR,3,2,Hungary, ,Germany FR,,,
8-Jun-58, 14:00 ,Group 3,Rasunda Stadium,Solna,Sweden,Sweden,3,0,Mexico, ,Sweden,,,
8-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg,Sweden,Soviet Union,2,2,England, ,Tie,,,
8-Jun-58, 19:00 ,Group 1,Malmo Stadion,Malmö Municipality,Sweden,Argentina,1,3,Germany FR, ,Germany FR,,,
8-Jun-58, 19:00 ,Group 3,Jarnvallen,Sandviken,Sweden,Hungary,1,1,Wales, ,Tie,,,
8-Jun-58, 19:00 ,Group 2,Idrottsparken,Sundsvall Municipality,Sweden,France,7,3,Paraguay, ,France,,,
8-Jun-58, 19:00 ,Group 2,Arosvallen,Västerås,Sweden,Yugoslavia,1,1,Scotland, ,Tie,,,
8-Jun-58, 19:00 ,Group 4,Rimnersvallen,Uddevalla,Sweden,Brazil,3,0,Austria, ,Brazil,,,
8-Jun-58, 19:00 ,Group 1,Orjans Vall,Halmstad,Sweden,Northern Ireland,1,0,Czechoslovakia, ,Northern Ireland,,,
11-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg,Sweden,Brazil,0,0,England, ,Tie,,,
11-Jun-58, 19:00 ,Group 3,Rasunda Stadium,Solna,Sweden,Mexico,1,1,Wales, ,Tie,,,
11-Jun-58, 19:00 ,Group 2,Idrottsparken,Sundsvall Municipality,Sweden,Paraguay,3,2,Scotland, ,Paraguay,,,
11-Jun-58, 19:00 ,Group 2,Arosvallen,Västerås,Sweden,Yugoslavia,3,2,France, ,Yugoslavia,,,
11-Jun-58, 19:00 ,Group 4,Ryavallen,Borås,Sweden,Soviet Union,2,0,Austria, ,Soviet Union,,,
11-Jun-58, 19:00 ,Group 1,Olympia Stadium,Helsingborg,Sweden,Germany FR,2,2,Czechoslovakia, ,Tie,,,
11-Jun-58, 19:00 ,Group 1,Orjans Vall,Halmstad,Sweden,Argentina,3,1,Northern Ireland, ,Argentina,,,
12-Jun-58, 19:00 ,Group 3,Rasunda Stadium,Solna,Sweden,Sweden,2,1,Hungary, ,Sweden,,,
15-Jun-58, 14:00 ,Group 3,Rasunda Stadium,Solna,Sweden,Sweden,0,0,Wales, ,Tie,,,
